row,field,old,new
2,title_display,The Olympian | Zeus The Wise Watches the world from Olympia | Painterly photographic | Gold and Blue Pallette | Gold Baroque,The Olympian | Zeus The Wise Watches the world from Olympia | Painterly photographic | Gold and Blue Pallette | Gold Baroque Frame
3,title_display,The Olympian | Poseidon The Sea Master Moves the waves | Painterly photographic | Green | Gold Baroque,The Olympian | Poseidon The Sea Master Moves the waves | Painterly photographic | Green and Grey Pallette | Dark Patterned Frame
